KEGG	GO_ID	GO_Description
ppa:PAS_chr3_0567;	P:GO:0006457; F:GO:0003755; C:GO:0005737; C:GO:0005829; C:GO:0005886; C:GO:0043231	P:protein folding; F:peptidyl-prolyl cis-trans isomerase activity; C:cytoplasm; C:cytosol; C:plasma membrane; C:intracellular membrane-bounded organelle
ppa:PAS_chr3_0566;	P:GO:0006563; P:GO:0006564; F:GO:0004648; F:GO:0008483; F:GO:0030170; C:GO:0005737	P:L-serine metabolic process; P:L-serine biosynthetic process; F:O-phospho-L-serine:2-oxoglutarate aminotransferase activity; F:transaminase activity; F:pyridoxal phosphate binding; C:cytoplasm
ppa:PAS_chr3_0565;	P:GO:0000077; P:GO:0000723; P:GO:0000724; P:GO:0006289; P:GO:0031573; P:GO:0033314; P:GO:0044778; C:GO:0030896; C:GO:0035861	P:DNA damage checkpoint signaling; P:telomere maintenance; P:double-strand break repair via homologous recombination; P:nucleotide-excision repair; P:mitotic intra-S DNA damage checkpoint signaling; P:mitotic DNA replication checkpoint signaling; P:meiotic DNA integrity checkpoint signaling; C:checkpoint clamp complex; C:site of double-strand break
ppa:PAS_chr3_0564;	P:GO:0006413; F:GO:0003743; F:GO:0005085; C:GO:0005829; C:GO:0005851	P:translational initiation; F:translation initiation factor activity; F:guanyl-nucleotide exchange factor activity; C:cytosol; C:eukaryotic translation initiation factor 2B complex
ppa:PAS_chr3_0563;		
ppa:PAS_chr3_0562;		
ppa:PAS_chr3_0561;	P:GO:0006749; P:GO:0006751; F:GO:0016746; F:GO:0016787; F:GO:0036374; F:GO:0103068; C:GO:0000324; C:GO:0005886; C:GO:0016020	P:glutathione metabolic process; P:glutathione catabolic process; F:acyltransferase activity; F:hydrolase activity; F:glutathione hydrolase activity; F:leukotriene C4 gamma-glutamyl transferase activity; C:fungal-type vacuole; C:plasma membrane; C:membrane
ppa:PAS_chr3_0560;	C:GO:0005934; C:GO:0005935	C:cellular bud tip; C:cellular bud neck
ppa:PAS_chr3_0559;	P:GO:0006569; P:GO:0009098; P:GO:0019363; P:GO:0019805; P:GO:0034354; P:GO:0043420; P:GO:0048205; P:GO:1901607; F:GO:0003861; F:GO:0004497; F:GO:0004502; F:GO:0005096; F:GO:0016829; F:GO:0046872; F:GO:0050660; F:GO:0051539; F:GO:0071949; C:GO:0000139; C:GO:0005739; C:GO:0005741; C:GO:0009316; C:GO:0031966	"P:tryptophan catabolic process; P:L-leucine biosynthetic process; P:pyridine nucleotide biosynthetic process; P:quinolinate biosynthetic process; P:'de novo' NAD biosynthetic process from tryptophan; P:anthranilate metabolic process; P:COPI coating of Golgi vesicle; P:alpha-amino acid biosynthetic process; F:3-isopropylmalate dehydratase activity; F:monooxygenase activity; F:kynurenine 3-monooxygenase activity; F:GTPase activator activity; F:lyase activity; F:metal ion binding; F:flavin adenine dinucleotide binding; F:4 iron, 4 sulfur cluster binding; F:FAD binding; C:Golgi membrane; C:mitochondrion; C:mitochondrial outer membrane; C:3-isopropylmalate dehydratase complex; C:mitochondrial membrane"
ppa:PAS_chr3_0558;	P:GO:0032259; F:GO:0008168; C:GO:0005737	P:methylation; F:methyltransferase activity; C:cytoplasm
ppa:PAS_chr3_0557;		
ppa:PAS_chr3_0554;	P:GO:0006357; F:GO:0000978; F:GO:0000981; C:GO:0000785	"P:regulation of transcription by RNA polymerase II; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; C:chromatin"
ppa:PAS_chr3_0553;		
ppa:PAS_chr3_1199;		
ppa:PAS_chr3_0552;	F:GO:0016757; C:GO:0005783; C:GO:0005789	F:glycosyltransferase activity; C:endoplasmic reticulum; C:endoplasmic reticulum membrane
ppa:PAS_chr3_0551;	P:GO:0055085; P:GO:0071805; P:GO:0090333; F:GO:0022821; F:GO:0022857; C:GO:0005886; C:GO:0009705; C:GO:0016020	P:transmembrane transport; P:potassium ion transmembrane transport; P:regulation of stomatal closure; F:solute:potassium antiporter activity; F:transmembrane transporter activity; C:plasma membrane; C:plant-type vacuole membrane; C:membrane
ppa:PAS_chr3_0550;	C:GO:0016020	C:membrane
ppa:PAS_chr3_1198;		
ppa:PAS_chr3_0549;	P:GO:0006356; P:GO:0006359; P:GO:0006974; P:GO:0051726; F:GO:0004674; F:GO:0005524; F:GO:0106310; C:GO:0005634; C:GO:0005829; C:GO:0005956	P:regulation of transcription by RNA polymerase I; P:regulation of transcription by RNA polymerase III; P:DNA damage response; P:regulation of cell cycle; F:protein serine/threonine kinase activity; F:ATP binding; F:protein serine kinase activity; C:nucleus; C:cytosol; C:protein kinase CK2 complex
ppa:PAS_chr3_0548;	P:GO:0000902; P:GO:0030036; P:GO:0051016; P:GO:0051693; F:GO:0003779; F:GO:0051015; C:GO:0005737; C:GO:0005856; C:GO:0008290; C:GO:0030479	P:cell morphogenesis; P:actin cytoskeleton organization; P:barbed-end actin filament capping; P:actin filament capping; F:actin binding; F:actin filament binding; C:cytoplasm; C:cytoskeleton; C:F-actin capping protein complex; C:actin cortical patch
ppa:PAS_chr3_0547;	F:GO:0030674; C:GO:0005783; C:GO:0005789; C:GO:0016020	F:protein-macromolecule adaptor activity; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane
ppa:PAS_chr3_0546;	P:GO:0001932; F:GO:0004862; F:GO:0008603; F:GO:0016301; F:GO:0030552; F:GO:0034236; C:GO:0005634; C:GO:0005952	P:regulation of protein phosphorylation; F:cAMP-dependent protein kinase inhibitor activity; F:cAMP-dependent protein kinase regulator activity; F:kinase activity; F:cAMP binding; F:protein kinase A catalytic subunit binding; C:nucleus; C:cAMP-dependent protein kinase complex
ppa:PAS_chr3_0545;	P:GO:0006338; F:GO:0003677; F:GO:0005524; F:GO:0008094; F:GO:0016787; F:GO:0140658; C:GO:0005634	"P:chromatin remodeling; F:DNA binding; F:ATP binding; F:ATP-dependent activity, acting on DNA; F:hydrolase activity; F:ATP-dependent chromatin remodeler activity; C:nucleus"
ppa:PAS_chr3_0544;	P:GO:0006355; P:GO:0045893; F:GO:0008270; F:GO:0031492; F:GO:0042393; F:GO:0046872; C:GO:0005634; C:GO:0016514; C:GO:0071564; C:GO:0071565	P:regulation of DNA-templated transcription; P:positive regulation of DNA-templated transcription; F:zinc ion binding; F:nucleosomal DNA binding; F:histone binding; F:metal ion binding; C:nucleus; C:SWI/SNF complex; C:npBAF complex; C:nBAF complex
ppa:PAS_chr3_0543;	P:GO:0006882; P:GO:0030001; P:GO:0055085; P:GO:0071577; F:GO:0005385; F:GO:0046873; C:GO:0016020	P:intracellular zinc ion homeostasis; P:metal ion transport; P:transmembrane transport; P:zinc ion transmembrane transport; F:zinc ion transmembrane transporter activity; F:metal ion transmembrane transporter activity; C:membrane
ppa:PAS_chr3_0541;	P:GO:0034975; C:GO:0016020; C:GO:0072546	P:protein folding in endoplasmic reticulum; C:membrane; C:EMC complex
ppa:PAS_chr3_0540;	P:GO:0007062; F:GO:0003682; C:GO:0000785; C:GO:0005634; C:GO:0008278	P:sister chromatid cohesion; F:chromatin binding; C:chromatin; C:nucleus; C:cohesin complex
ppa:PAS_chr3_0538;	F:GO:0008270; C:GO:0016020	F:zinc ion binding; C:membrane
ppa:PAS_chr3_0537;	P:GO:0015031; P:GO:0030150; P:GO:0051641; F:GO:0051087; C:GO:0005739; C:GO:0005743	P:protein transport; P:protein import into mitochondrial matrix; P:cellular localization; F:protein-folding chaperone binding; C:mitochondrion; C:mitochondrial inner membrane
ppa:PAS_chr3_0536;		
ppa:PAS_chr3_0535;	P:GO:0006631; P:GO:0006633; P:GO:0008610; P:GO:0044255; F:GO:0005506; F:GO:0016491; F:GO:0020037; F:GO:0046872; F:GO:0080132; C:GO:0005783; C:GO:0005789; C:GO:0016020	P:fatty acid metabolic process; P:fatty acid biosynthetic process; P:lipid biosynthetic process; P:cellular lipid metabolic process; F:iron ion binding; F:oxidoreductase activity; F:heme binding; F:metal ion binding; F:fatty acid 2-hydroxylase activity; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane
ppa:PAS_chr3_1197;	P:GO:0006207; P:GO:0006221; P:GO:0044205; P:GO:0046132; P:GO:0055086; P:GO:0072528; F:GO:0004588; C:GO:0005737	P:'de novo' pyrimidine nucleobase biosynthetic process; P:pyrimidine nucleotide biosynthetic process; P:'de novo' UMP biosynthetic process; P:pyrimidine ribonucleoside biosynthetic process; P:nucleobase-containing small molecule metabolic process; P:pyrimidine-containing compound biosynthetic process; F:orotate phosphoribosyltransferase activity; C:cytoplasm
ppa:PAS_chr3_0534;	P:GO:0006614; P:GO:0006617; F:GO:0008312; C:GO:0005737; C:GO:0005786; C:GO:0048500	"P:SRP-dependent cotranslational protein targeting to membrane; P:SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition; F:7S RNA binding; C:cytoplasm; C:signal recognition particle, endoplasmic reticulum targeting; C:signal recognition particle"
ppa:PAS_chr3_0533;		
ppa:PAS_chr3_0532;	P:GO:0006644; P:GO:0008654; F:GO:0004366; F:GO:0016287; F:GO:0016746; F:GO:0035091; C:GO:0005769; C:GO:0016020	P:phospholipid metabolic process; P:phospholipid biosynthetic process; F:glycerol-3-phosphate O-acyltransferase activity; F:glycerone-phosphate O-acyltransferase activity; F:acyltransferase activity; F:phosphatidylinositol binding; C:early endosome; C:membrane
ppa:PAS_chr3_0531;	P:GO:0007264; P:GO:0015031; P:GO:0016192; F:GO:0005093; C:GO:0005737	P:small GTPase-mediated signal transduction; P:protein transport; P:vesicle-mediated transport; F:Rab GDP-dissociation inhibitor activity; C:cytoplasm
ppa:PAS_chr3_0530;		
ppa:PAS_chr3_0529;		
ppa:PAS_chr3_0528;	P:GO:0006553; P:GO:0009085; P:GO:0019878; F:GO:0004753; F:GO:0016491; C:GO:0005737	P:lysine metabolic process; P:lysine biosynthetic process; P:lysine biosynthetic process via aminoadipic acid; F:saccharopine dehydrogenase activity; F:oxidoreductase activity; C:cytoplasm
ppa:PAS_chr3_0527;		
ppa:PAS_chr3_0526;	F:GO:0031491; F:GO:0042393	F:nucleosome binding; F:histone binding
ppa:PAS_chr3_0525;		
ppa:PAS_chr3_0524;		
ppa:PAS_chr3_0523;	P:GO:0006633; F:GO:0070566; C:GO:0005829; C:GO:0005886	P:fatty acid biosynthetic process; F:adenylyltransferase activity; C:cytosol; C:plasma membrane
ppa:PAS_chr3_0522;	C:GO:0016020	C:membrane
ppa:PAS_chr3_0521;	P:GO:0006302; P:GO:0006511; P:GO:0070936; F:GO:0004842; F:GO:0042393; F:GO:0046872; F:GO:0061630; C:GO:0000151; C:GO:0005634; C:GO:0005829; C:GO:0032153; C:GO:0035861	P:double-strand break repair; P:ubiquitin-dependent protein catabolic process; P:protein K48-linked ubiquitination; F:ubiquitin-protein transferase activity; F:histone binding; F:metal ion binding; F:ubiquitin protein ligase activity; C:ubiquitin ligase complex; C:nucleus; C:cytosol; C:cell division site; C:site of double-strand break
ppa:PAS_chr3_0520;	P:GO:0006412; F:GO:0003723; F:GO:0003735; C:GO:0005739; C:GO:0005829; C:GO:0005840; C:GO:0015935; C:GO:1990904	P:translation; F:RNA binding; F:structural constituent of ribosome; C:mitochondrion; C:cytosol; C:ribosome; C:small ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr3_0519;		
ppa:PAS_chr3_0518;		
ppa:PAS_chr3_0517;	F:GO:0005178; F:GO:0008237; F:GO:0008270; C:GO:0005576; C:GO:0009277; C:GO:0009986	F:integrin binding; F:metallopeptidase activity; F:zinc ion binding; C:extracellular region; C:fungal-type cell wall; C:cell surface
ppa:PAS_chr3_0516;	P:GO:0000041; P:GO:0006811; P:GO:0071577; P:GO:0071578; F:GO:0000007; F:GO:0005385; C:GO:0005886; C:GO:0016020	P:transition metal ion transport; P:monoatomic ion transport; P:zinc ion transmembrane transport; P:zinc ion import across plasma membrane; F:low-affinity zinc ion transmembrane transporter activity; F:zinc ion transmembrane transporter activity; C:plasma membrane; C:membrane
ppa:PAS_chr3_0515;	P:GO:0000032; P:GO:0006487; F:GO:0000009; C:GO:0000136; C:GO:0016020	"P:cell wall mannoprotein biosynthetic process; P:protein N-linked glycosylation; F:alpha-1,6-mannosyltransferase activity; C:mannan polymerase complex; C:membrane"
ppa:PAS_chr3_0514;		
ppa:PAS_chr3_0513;	P:GO:0043161; F:GO:0008237; C:GO:0000502; C:GO:0005838	P:proteasome-mediated ubiquitin-dependent protein catabolic process; F:metallopeptidase activity; C:proteasome complex; C:proteasome regulatory particle
ppa:PAS_chr3_0512;	P:GO:0009062; P:GO:0019432; P:GO:0045944; F:GO:0003713; F:GO:0004725; F:GO:0008195; C:GO:0005634	P:fatty acid catabolic process; P:triglyceride biosynthetic process; P:positive regulation of transcription by RNA polymerase II; F:transcription coactivator activity; F:protein tyrosine phosphatase activity; F:phosphatidate phosphatase activity; C:nucleus
ppa:PAS_chr3_0511;		
ppa:PAS_chr3_0510;		
ppa:PAS_chr3_0509;		
ppa:PAS_chr3_0508;	P:GO:0043328; C:GO:0005768; C:GO:0005774; C:GO:0005783; C:GO:0010008; C:GO:0016020	P:protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway; C:endosome; C:vacuolar membrane; C:endoplasmic reticulum; C:endosome membrane; C:membrane
ppa:PAS_chr3_1196;		
ppa:PAS_chr3_0507;	P:GO:0016125; P:GO:0016126; F:GO:0004497; F:GO:0005506; F:GO:0016491; F:GO:0016705; F:GO:0020037; F:GO:0046872; C:GO:0016020	"P:sterol metabolic process; P:sterol biosynthetic process; F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding; F:metal ion binding; C:membrane"
ppa:PAS_chr3_0506;	P:GO:0008652; P:GO:0009073; P:GO:0009423; F:GO:0003855; F:GO:0003856; F:GO:0003866; F:GO:0004764; F:GO:0004765; F:GO:0005524; F:GO:0016301; F:GO:0016491; F:GO:0016829; F:GO:0046872; C:GO:0005737	P:amino acid biosynthetic process; P:aromatic amino acid family biosynthetic process; P:chorismate biosynthetic process; F:3-dehydroquinate dehydratase activity; F:3-dehydroquinate synthase activity; F:3-phosphoshikimate 1-carboxyvinyltransferase activity; F:shikimate 3-dehydrogenase (NADP+) activity; F:shikimate kinase activity; F:ATP binding; F:kinase activity; F:oxidoreductase activity; F:lyase activity; F:metal ion binding; C:cytoplasm
ppa:PAS_chr3_0505;	P:GO:0006338; P:GO:0006357; P:GO:0045893; F:GO:0003682; F:GO:0003713; C:GO:0005634; C:GO:0070210; C:GO:1990483	P:chromatin remodeling; P:regulation of transcription by RNA polymerase II; P:positive regulation of DNA-templated transcription; F:chromatin binding; F:transcription coactivator activity; C:nucleus; C:Rpd3L-Expanded complex; C:obsolete Clr6 histone deacetylase complex I''
ppa:PAS_chr3_0504;		
ppa:PAS_chr3_1195;		
ppa:PAS_chr3_0503;	P:GO:0006355; P:GO:0009074; P:GO:0045944; F:GO:0000981; F:GO:0008270; C:GO:0005634	"P:regulation of DNA-templated transcription; P:aromatic amino acid family catabolic process; P:positive regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:zinc ion binding; C:nucleus"
ppa:PAS_chr3_0501;		
ppa:PAS_chr3_0500;	F:GO:0016874; C:GO:0016020	F:ligase activity; C:membrane
ppa:PAS_chr3_0499;	P:GO:0006351; P:GO:0006355; P:GO:0006357; P:GO:0006508; F:GO:0000976; F:GO:0000981; F:GO:0003677; F:GO:0008233; F:GO:0008270; F:GO:0046872; C:GO:0005634	"P:DNA-templated transcription; P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; P:proteolysis; F:transcription cis-regulatory region binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:peptidase activity; F:zinc ion binding; F:metal ion binding; C:nucleus"
ppa:PAS_chr3_0498;	P:GO:0006355; P:GO:0006357; P:GO:0006508; P:GO:0006897; P:GO:0051666; P:GO:0097320; F:GO:0000976; F:GO:0000981; F:GO:0008233; F:GO:0008270; F:GO:0008289; C:GO:0005634; C:GO:0030479; C:GO:0031097; C:GO:0043332; C:GO:1990528	"P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; P:proteolysis; P:endocytosis; P:actin cortical patch localization; P:plasma membrane tubulation; F:transcription cis-regulatory region binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:peptidase activity; F:zinc ion binding; F:lipid binding; C:nucleus; C:actin cortical patch; C:medial cortex; C:mating projection tip; C:Rvs161p-Rvs167p complex"
ppa:PAS_chr3_0497;	P:GO:0007165	P:signal transduction
ppa:PAS_chr3_0496;	P:GO:0006396; P:GO:0006397; P:GO:0008380; P:GO:0022613; F:GO:0003676; F:GO:0003723; F:GO:0004386; F:GO:0005524; F:GO:0008186; F:GO:0016787; C:GO:0005634; C:GO:0071013; C:GO:1990904	"P:RNA processing; P:mRNA processing; P:RNA splicing; P:ribonucleoprotein complex biogenesis; F:nucleic acid binding; F:RNA binding; F:helicase activity; F:ATP binding; F:ATP-dependent activity, acting on RNA; F:hydrolase activity; C:nucleus; C:catalytic step 2 spliceosome; C:ribonucleoprotein complex"
ppa:PAS_chr3_0495;	P:GO:0006797; P:GO:0006817; P:GO:0055085; F:GO:0005315; F:GO:0022857; C:GO:0016020	P:polyphosphate metabolic process; P:phosphate ion transport; P:transmembrane transport; F:phosphate transmembrane transporter activity; F:transmembrane transporter activity; C:membrane
ppa:PAS_chr3_0494;		
ppa:PAS_chr3_0493;		
ppa:PAS_chr3_0492;		
ppa:PAS_chr3_0490;	P:GO:0006355; P:GO:0006357; F:GO:0000981; F:GO:0003677; F:GO:0008270; F:GO:0046872; C:GO:0005634	"P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:zinc ion binding; F:metal ion binding; C:nucleus"
ppa:PAS_chr3_0489;	P:GO:0008272; P:GO:0055085; P:GO:0098656; P:GO:0098661; P:GO:1902358; F:GO:0008271; F:GO:0008509; F:GO:0015116; F:GO:0022857; C:GO:0016020	P:obsolete sulfate transport; P:transmembrane transport; P:monoatomic anion transmembrane transport; P:inorganic anion transmembrane transport; P:sulfate transmembrane transport; F:secondary active sulfate transmembrane transporter activity; F:monoatomic anion transmembrane transporter activity; F:sulfate transmembrane transporter activity; F:transmembrane transporter activity; C:membrane
ppa:PAS_chr3_1194;	P:GO:0006569; P:GO:0009435; P:GO:0019363; P:GO:0019441; P:GO:0019805; P:GO:0034354; P:GO:0043420; P:GO:0097053; F:GO:0016787; F:GO:0030170; F:GO:0030429; F:GO:0061981; C:GO:0005737	P:tryptophan catabolic process; P:NAD biosynthetic process; P:pyridine nucleotide biosynthetic process; P:tryptophan catabolic process to kynurenine; P:quinolinate biosynthetic process; P:'de novo' NAD biosynthetic process from tryptophan; P:anthranilate metabolic process; P:L-kynurenine catabolic process; F:hydrolase activity; F:pyridoxal phosphate binding; F:kynureninase activity; F:obsolete 3-hydroxykynureninase activity; C:cytoplasm
ppa:PAS_chr3_0488;	P:GO:0006869; P:GO:0061817; F:GO:0008289; C:GO:0016020	P:lipid transport; P:endoplasmic reticulum-plasma membrane tethering; F:lipid binding; C:membrane
ppa:PAS_chr3_0486;		
ppa:PAS_chr3_0485;	P:GO:0006355; P:GO:0006357; F:GO:0000981; F:GO:0008270; C:GO:0005737; C:GO:0016020	"P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:zinc ion binding; C:cytoplasm; C:membrane"
ppa:PAS_chr3_0484;	P:GO:0006351; P:GO:0006357; F:GO:0000978; F:GO:0000981; F:GO:0003677; F:GO:0008270; C:GO:0000785	"P:DNA-templated transcription; P:regulation of transcription by RNA polymerase II; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:zinc ion binding; C:chromatin"
ppa:PAS_chr3_0483;	P:GO:0006506; C:GO:0005783; C:GO:0016020	P:GPI anchor biosynthetic process; C:endoplasmic reticulum; C:membrane
ppa:PAS_chr3_1193;		
ppa:PAS_chr3_0482;	P:GO:0009058; P:GO:0042853; F:GO:0004021; F:GO:0008483; F:GO:0016740; F:GO:0030170	P:biosynthetic process; P:L-alanine catabolic process; F:L-alanine:2-oxoglutarate aminotransferase activity; F:transaminase activity; F:transferase activity; F:pyridoxal phosphate binding
ppa:PAS_chr3_0480;	P:GO:0006457; P:GO:0042026; F:GO:0030544; F:GO:0046872; F:GO:0051082; F:GO:0051087; C:GO:0005634; C:GO:0005737; C:GO:0005829	P:protein folding; P:protein refolding; F:Hsp70 protein binding; F:metal ion binding; F:unfolded protein binding; F:protein-folding chaperone binding; C:nucleus; C:cytoplasm; C:cytosol
ppa:PAS_chr3_0479;		
ppa:PAS_chr3_0478;		
ppa:PAS_chr3_0477;	P:GO:0031145; P:GO:0051301; P:GO:0070979; C:GO:0005680; C:GO:0034399	P:anaphase-promoting complex-dependent catabolic process; P:cell division; P:protein K11-linked ubiquitination; C:anaphase-promoting complex; C:nuclear periphery
ppa:PAS_chr3_0476;		
ppa:PAS_chr3_0475;	P:GO:0006506; P:GO:0016255; C:GO:0005783; C:GO:0005789; C:GO:0016020; C:GO:0042765	P:GPI anchor biosynthetic process; P:attachment of GPI anchor to protein; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane; C:GPI-anchor transamidase complex
ppa:PAS_chr3_0474;	P:GO:0006412; F:GO:0003723; F:GO:0003735; C:GO:0005739; C:GO:0005762; C:GO:0005840; C:GO:0015934; C:GO:0022625; C:GO:1990904	P:translation; F:RNA binding; F:structural constituent of ribosome; C:mitochondrion; C:mitochondrial large ribosomal subunit; C:ribosome; C:large ribosomal subunit; C:cytosolic large ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr3_0473;	P:GO:0006412; F:GO:0003735; C:GO:0005762; C:GO:0005840; C:GO:1990904	P:translation; F:structural constituent of ribosome; C:mitochondrial large ribosomal subunit; C:ribosome; C:ribonucleoprotein complex
ppa:PAS_chr3_0472;		
ppa:PAS_chr3_0471;	P:GO:0009085; P:GO:0009086; P:GO:0009088; P:GO:0009089; P:GO:0009097; F:GO:0004073; F:GO:0016491; F:GO:0046983; F:GO:0050661; F:GO:0051287	P:lysine biosynthetic process; P:methionine biosynthetic process; P:threonine biosynthetic process; P:lysine biosynthetic process via diaminopimelate; P:isoleucine biosynthetic process; F:aspartate-semialdehyde dehydrogenase activity; F:oxidoreductase activity; F:protein dimerization activity; F:NADP binding; F:NAD binding
ppa:PAS_chr3_0470;	P:GO:0032259; F:GO:0008168	P:methylation; F:methyltransferase activity
ppa:PAS_chr3_0469;		
ppa:PAS_chr3_0468;	P:GO:0006508; P:GO:0033615; P:GO:0034982; F:GO:0004222; F:GO:0008237; F:GO:0046872; C:GO:0005739; C:GO:0005743	P:proteolysis; P:mitochondrial proton-transporting ATP synthase complex assembly; P:mitochondrial protein processing; F:metalloendopeptidase activity; F:metallopeptidase activity; F:metal ion binding; C:mitochondrion; C:mitochondrial inner membrane
ppa:PAS_chr3_0467;	P:GO:0008204; F:GO:0008374; F:GO:0016746; F:GO:0034737; C:GO:0005783; C:GO:0005789; C:GO:0016020	P:ergosterol metabolic process; F:O-acyltransferase activity; F:acyltransferase activity; F:ergosterol O-acyltransferase activity; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane
ppa:PAS_chr3_0466;	P:GO:0032259; P:GO:0070476; F:GO:0008168; F:GO:0016435; C:GO:0005634; C:GO:0005730; C:GO:0005737	P:methylation; P:rRNA (guanine-N7)-methylation; F:methyltransferase activity; F:rRNA (guanine) methyltransferase activity; C:nucleus; C:nucleolus; C:cytoplasm
ppa:PAS_chr3_0465;	P:GO:0006412; F:GO:0003735; C:GO:0005762; C:GO:0005840; C:GO:0022625; C:GO:1990904	P:translation; F:structural constituent of ribosome; C:mitochondrial large ribosomal subunit; C:ribosome; C:cytosolic large ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr3_0464;	P:GO:0032469; F:GO:0005509; C:GO:0005783; C:GO:0016020	P:endoplasmic reticulum calcium ion homeostasis; F:calcium ion binding; C:endoplasmic reticulum; C:membrane
ppa:PAS_chr3_0463;	P:GO:0046579; F:GO:0004674	P:positive regulation of Ras protein signal transduction; F:protein serine/threonine kinase activity
ppa:PAS_chr3_0462;	P:GO:0006412; P:GO:0006419; P:GO:0019538; P:GO:0045892; P:GO:0070143; P:GO:0098703; P:GO:0106074; F:GO:0000049; F:GO:0002161; F:GO:0003676; F:GO:0004812; F:GO:0004813; F:GO:0005262; F:GO:0005524; F:GO:0008270; F:GO:0046872; C:GO:0005737; C:GO:0005739; C:GO:0005829	P:translation; P:alanyl-tRNA aminoacylation; P:protein metabolic process; P:negative regulation of DNA-templated transcription; P:mitochondrial alanyl-tRNA aminoacylation; P:calcium ion import across plasma membrane; P:aminoacyl-tRNA metabolism involved in translational fidelity; F:tRNA binding; F:aminoacyl-tRNA editing activity; F:nucleic acid binding; F:aminoacyl-tRNA ligase activity; F:alanine-tRNA ligase activity; F:calcium channel activity; F:ATP binding; F:zinc ion binding; F:metal ion binding; C:cytoplasm; C:mitochondrion; C:cytosol
ppa:PAS_chr3_0461;		
ppa:PAS_chr3_0460;	P:GO:0006886; P:GO:0015986; P:GO:0016192; P:GO:1902600; F:GO:0015078; F:GO:0046933; C:GO:0000276; C:GO:0005739; C:GO:0005743; C:GO:0030117; C:GO:0045263	"P:intracellular protein transport; P:proton motive force-driven ATP synthesis; P:vesicle-mediated transport; P:proton transmembrane transport; F:proton transmembrane transporter activity; F:proton-transporting ATP synthase activity, rotational mechanism; C:obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); C:mitochondrion; C:mitochondrial inner membrane; C:membrane coat; C:proton-transporting ATP synthase complex, coupling factor F(o)"
ppa:PAS_chr3_0459;	P:GO:0006996; P:GO:0007059; P:GO:0007094; P:GO:0033316; P:GO:0034501; F:GO:0004672; F:GO:0004674; F:GO:0004712; F:GO:0005524; F:GO:0016301; C:GO:0000776; C:GO:0005634	P:organelle organization; P:chromosome segregation; P:mitotic spindle assembly checkpoint signaling; P:meiotic spindle assembly checkpoint signaling; P:protein localization to kinetochore; F:protein kinase activity; F:protein serine/threonine kinase activity; F:protein serine/threonine/tyrosine kinase activity; F:ATP binding; F:kinase activity; C:kinetochore; C:nucleus
ppa:PAS_chr3_0458;	P:GO:0008033; P:GO:0034314; F:GO:0003779; F:GO:0004674; F:GO:0005524; F:GO:0016301; F:GO:0016787; F:GO:0051015; C:GO:0000781; C:GO:0005694; C:GO:0005885; C:GO:0030479	"P:tRNA processing; P:Arp2/3 complex-mediated actin nucleation; F:actin binding; F:protein serine/threonine kinase activity; F:ATP binding; F:kinase activity; F:hydrolase activity; F:actin filament binding; C:chromosome, telomeric region; C:chromosome; C:Arp2/3 protein complex; C:actin cortical patch"
ppa:PAS_chr3_1192;		
ppa:PAS_chr3_0457;	P:GO:0010498; P:GO:0043161; C:GO:0000502; C:GO:0005838; C:GO:0008541	"P:proteasomal protein catabolic process; P:proteasome-mediated ubiquitin-dependent protein catabolic process; C:proteasome complex; C:proteasome regulatory particle; C:proteasome regulatory particle, lid subcomplex"
ppa:PAS_chr3_1191;	P:GO:0006338; P:GO:0006355; F:GO:0031491; F:GO:0042393; C:GO:0005634; C:GO:0005737; C:GO:0033698; C:GO:0070210	P:chromatin remodeling; P:regulation of DNA-templated transcription; F:nucleosome binding; F:histone binding; C:nucleus; C:cytoplasm; C:Rpd3L complex; C:Rpd3L-Expanded complex
